date,amount,category,description,note
2026-03-01,63.00,subscription,Netflix monthly,
2026-03-01,48.00,subscription,Spotify Premium,
2026-03-01,62.00,subscription,YouTube Premium,
2026-03-01,25.00,subscription,iCloud 200GB,
2026-03-02,35.00,food,Lunch,
2026-03-03,40.00,food,Dinner,
2026-03-05,350.00,subscription,Gym membership,monthly
2026-03-06,30.00,food,Canteen lunch,
2026-03-07,55.00,entertainment,Movie night,
2026-03-08,28.00,food,Lunch,
2026-03-09,15.00,subscription,Dropbox Plus,forgot about this
2026-03-10,45.00,food,Restaurant,
2026-03-12,32.00,food,Lunch,
2026-03-13,22.00,transport,MTR,
2026-03-14,38.00,food,Dinner,
2026-03-15,42.00,entertainment,KTV,
2026-03-17,35.00,food,Weekend brunch,
2026-03-18,18.00,transport,Bus,
2026-03-19,30.00,food,Lunch,
2026-03-20,48.00,food,Dinner with friends,
2026-03-21,25.00,food,Canteen,
2026-03-23,33.00,food,Lunch,
2026-03-24,20.00,subscription,Adobe Creative Cloud,student plan
2026-03-25,40.00,food,Dinner,
2026-03-27,28.00,food,Lunch,
2026-03-28,22.00,transport,MTR,
2026-03-30,35.00,food,End of month dinner,
