date,amount,category,description,note
2026-03-01,22.00,transport,MTR to university,
2026-03-01,38.00,food,Lunch and dinner,
2026-03-02,22.00,transport,MTR,
2026-03-03,85.00,transport,Taxi to airport,late night
2026-03-03,40.00,food,Dinner,
2026-03-04,22.00,transport,MTR,
2026-03-05,22.00,transport,MTR,
2026-03-06,15.00,transport,Bus,
2026-03-07,70.00,transport,Taxi home late night,
2026-03-07,35.00,food,Weekend brunch,
2026-03-08,22.00,transport,MTR,
2026-03-09,22.00,transport,MTR,
2026-03-10,22.00,transport,MTR,
2026-03-10,30.00,food,Lunch,
2026-03-11,22.00,transport,MTR,
2026-03-12,22.00,transport,MTR,
2026-03-13,22.00,transport,MTR,
2026-03-14,22.00,transport,MTR,
2026-03-14,42.00,food,Dinner,
2026-03-15,60.00,transport,Taxi to hospital,
2026-03-15,28.00,food,Lunch,
2026-03-16,22.00,transport,MTR,
2026-03-17,22.00,transport,MTR,
2026-03-18,22.00,transport,MTR,
2026-03-18,33.00,food,Dinner,
2026-03-19,22.00,transport,MTR,
2026-03-20,22.00,transport,MTR,
2026-03-20,45.00,food,Weekend lunch,
2026-03-21,22.00,transport,MTR,
2026-03-22,22.00,transport,MTR,
2026-03-23,55.00,transport,Ferry and bus day trip,
2026-03-23,50.00,food,Day trip meals,
2026-03-24,22.00,transport,MTR,
2026-03-25,22.00,transport,MTR,
2026-03-25,30.00,food,Dinner,
2026-03-26,22.00,transport,MTR,
2026-03-27,22.00,transport,MTR,
2026-03-28,22.00,transport,MTR,
2026-03-29,22.00,transport,MTR,
2026-03-30,22.00,transport,MTR,
2026-03-31,22.00,transport,MTR,
